feature,importance
rotation_benefit,19.951044091293916
previous_crop_encoded,8.618202719328744
temp_range,5.288032324767869
npk_balance_score,4.667203660026851
humidity_temp_interaction,4.665291253738872
rainfall_anomaly,4.332852670620571
region_encoded,3.899421722419958
humidity_pct,3.8574703103491803
temp_min_c,3.7727015674973723
ph_oc_interaction,3.5043987986756835
soil_ph,3.3269786671203385
potassium,3.055553798740148
oc_quality,2.8066104403415717
phosphorus_squared,2.6590886237016162
nitrogen_squared,2.474530160571511
gdd_rate,2.2295981991360287
potassium_squared,2.003845592058273
growing_degree_days,1.8816509305860951
ph_squared,1.6869061295035253
forecast_rainfall_mm_7d,1.6532577499622327
wind_speed_mps,1.4183646700228267
rainfall_7_30_ratio,1.2956943880565726
water_deficit_index,1.245986596350816
temp_max_c,1.0543215349644597
npk_ratio,0.9590594881341454
same_crop_penalty,0.9484930579092314
nitrogen,0.9186589669646301
season_encoded,0.8622068972518337
ph_optimality,0.7743449512162475
spi_index,0.7357131741114455
forecast_temp_min_c_7d,0.6728705998932768
n_p_interaction,0.5889354081348545
month_cos,0.5815445042579047
heat_stress_severity,0.5640621492258602
ph_optimal_distance,0.5536960841644352
rainfall_consistency,0.49140811890110075
forecast_temp_max_c_7d,0.0
rainfall_mm,0.0
phosphorus,0.0
rolling_rain_7d,0.0
soil_fertility_score,0.0
organic_carbon,0.0
heat_stress_days_30d,0.0
npk_total,0.0
cold_stress_severity,0.0
rolling_rain_30d,0.0
month_sin,0.0
